City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,la ronge,55.1001,-105.2842,17.13,61,100,2.38,CA,1687831830
246,kavaratti,10.5669,72.642,26.29,85,100,10.91,IN,1687831830
247,port blair,11.6667,92.75,30.02,79,75,4.12,IN,1687832118
248,san andres,12.5847,-81.7006,27.4,78,100,4.74,CO,1687832118
249,san jose de feliciano,-30.3845,-58.7517,22.8,70,100,2.39,AR,1687831830
250,cidade velha,14.9167,-23.6167,24.26,78,40,4.12,CV,1687832119
251,santa rosalia,27.3167,-112.2833,31.17,38,1,1.41,MX,1687832119
252,yazd,31.8972,54.3675,27.7,19,0,0.43,IR,1687831919
253,vadso,70.0744,29.7487,9.09,100,100,2.06,NO,1687831831
254,punta arenas,-53.15,-70.9167,1.06,75,75,6.69,CL,1687832119
255,turbat,26.0023,63.044,28.61,70,64,1.33,PK,1687832120
256,kalmunai,7.4167,81.8167,27.67,74,99,0.94,LK,1687832120
257,alexandria,31.2156,29.9553,21.3,79,0,3.2,EG,1687832120
258,plettenberg bay,-34.0527,23.3716,13.97,88,88,6.71,ZA,1687832120
259,saipan,15.1355,145.701,29.39,100,75,5.66,MP,1687832120
260,maintirano,-18.0667,44.0167,18.11,71,5,3.34,MG,1687831833
261,ulsteinvik,62.3432,5.8487,16.61,95,100,0.89,NO,1687832121
262,horta,38.5333,-28.6333,18.34,88,8,1.34,PT,1687832121
263,sao paulo de olivenca,-3.3783,-68.8725,22.9,97,100,0.22,BR,1687831834
264,flying fish cove,-10.4217,105.6791,24.82,83,100,5.14,CX,1687832122
265,dauphin,51.1494,-100.0502,17.08,88,20,0.0,CA,1687832122
266,mahibadhoo,3.7833,72.9667,27.27,79,100,4.87,MV,1687832122
267,kruisfontein,-34.0033,24.7314,13.82,91,100,6.67,ZA,1687832122
268,tual,-5.6667,132.75,27.12,83,69,4.43,ID,1687832123
269,mata-utu,-13.2816,-176.1745,27.52,76,65,5.19,WF,1687831902
270,kendari,-3.945,122.4989,29.67,67,43,1.48,ID,1687832123
271,pingliang,35.5392,106.6861,25.02,55,100,6.41,CN,1687832123
272,camargo,27.6667,-105.1667,34.62,12,8,8.29,MX,1687831836
273,ulladulla,-35.35,150.4667,16.77,38,53,1.02,AU,1687832124
274,margate,51.3813,1.3862,15.39,72,89,1.34,GB,1687832124
275,gaspe,48.8334,-64.4819,11.12,93,100,4.12,CA,1687832042
276,tolanaro,-25.0319,46.9987,18.39,79,74,2.99,MG,1687832124
277,lerwick,60.1545,-1.1494,12.0,93,0,4.01,GB,1687831837
278,lebu,-37.6167,-73.65,11.02,90,95,4.91,CL,1687832125
279,ebaye,8.7748,167.7392,28.45,77,81,8.62,MH,1687831837
280,salalah,17.0151,54.0924,28.05,89,75,2.57,OM,1687831948
281,sarina,-21.4333,149.2167,24.51,56,68,2.43,AU,1687832125
282,leer,53.2316,7.461,13.3,90,10,3.45,DE,1687832125
283,necochea,-38.5473,-58.7368,9.64,59,64,4.44,AR,1687831867
284,lompoc,34.6391,-120.4579,18.77,82,4,4.02,US,1687831838
285,masina,-4.3836,15.3914,20.65,92,59,1.42,CD,1687832126
286,nagqu,31.5,92.0,6.04,83,100,4.71,CN,1687832126
287,baukau,51.5526,7.2042,15.72,73,87,2.24,DE,1687832127
288,monrovia,6.3005,-10.7969,24.99,85,100,5.69,LR,1687832127
289,pont rouge,48.8833,-72.0825,18.16,69,100,6.86,CA,1687832127
290,pisco,-13.7,-76.2167,18.03,82,0,4.63,PE,1687832065
291,champua,22.0833,85.6667,24.33,92,100,4.06,IN,1687832127
292,timimoun,29.2639,0.231,30.21,11,45,3.09,DZ,1687832128
293,mount sterling,38.0565,-83.9433,20.03,88,75,1.54,US,1687831865
294,urzhar,47.093,81.6294,24.01,23,100,4.24,KZ,1687832128
295,kingscliff,-28.2667,153.5667,21.52,26,39,4.63,AU,1687832128
296,villablino,42.9393,-6.3194,15.46,94,8,1.42,ES,1687831841
297,egilsstadir,65.2653,-14.3948,6.95,87,0,3.6,IS,1687832129
298,nezhinka,51.7676,55.3694,12.09,76,0,7.15,RU,1687832129
299,bom jesus da lapa,-13.255,-43.4181,21.48,56,28,2.61,BR,1687832129
300,tromso,69.6496,18.957,10.21,87,0,5.14,NO,1687831892
301,sandnessjoen,66.0217,12.6316,15.29,71,83,7.24,NO,1687832130
302,holyhead,53.3062,-4.6321,15.0,88,75,6.69,GB,1687832130
303,dahlen,51.3667,13.0,15.8,85,100,4.83,DE,1687831825
304,tamanrasset,22.785,5.5228,23.95,29,0,1.54,DZ,1687832130
305,taksimo,56.3444,114.8794,25.44,47,11,2.35,RU,1687832130
306,churapcha,62.0025,132.4325,29.39,44,100,2.06,RU,1687831939
307,megion,61.0296,76.1136,15.01,59,19,2.32,RU,1687831966
308,karasuk,53.7377,78.0403,19.42,44,36,9.26,RU,1687832131
309,bakanas,44.8081,76.2772,26.24,31,0,9.03,KZ,1687832131
310,dodoma,-6.1722,35.7395,15.28,70,13,3.49,TZ,1687832083
311,gassol,8.5333,10.4667,22.91,90,29,1.76,NG,1687832131
312,pangody,65.85,74.4859,13.5,54,98,1.77,RU,1687832132
313,beidao,34.5686,105.8933,24.81,62,100,6.36,CN,1687831844
314,cateel,7.7914,126.4533,29.83,68,100,1.41,PH,1687832132
315,bata,1.8639,9.7658,24.4,88,100,4.15,GQ,1687831845
316,o rosal,41.9354,-8.8368,17.53,87,0,4.76,ES,1687832132
317,waingapu,-9.6567,120.2641,28.45,67,36,0.77,ID,1687832133
318,illushi,6.6667,6.6308,22.71,97,98,1.7,NG,1687832134
319,la'ie,21.6477,-157.9253,30.98,65,2,2.68,US,1687831845
320,severo-yeniseyskiy,60.3725,93.0408,11.75,61,100,3.16,RU,1687832134
321,santa ana de yacuma,-13.75,-65.4333,23.84,70,3,0.96,BO,1687831846
322,altpinar,39.2042,32.7478,15.46,73,0,2.23,TR,1687832135
323,howrah,22.5892,88.3103,28.0,89,100,4.12,IN,1687832135
324,jianshui,23.6363,102.8264,24.58,73,7,1.76,CN,1687832135
325,newman,37.3138,-121.0208,29.6,37,1,2.24,US,1687832135
326,el granada,37.5027,-122.4694,19.47,84,100,8.23,US,1687832136
327,enewetak,11.3474,162.3373,28.25,79,83,7.73,MH,1687832136
328,guanica,17.9716,-66.908,27.81,68,17,2.35,PR,1687832136
329,cedar city,37.6775,-113.0619,25.54,14,0,6.69,US,1687832134
330,lihue,21.9789,-159.3672,28.58,69,75,8.23,US,1687832136
